id	sentiment	question
0	0	that one
1	0	that one
2	0	that 
3	0	that one
4	0	that 
5	0	that one
6	0	that 
7	0	that one
8	0	that one
9	1	special about this region
10	2	how does a search engine work
11	1	this region’s speciality
12	2	how search engines work
13	1	about this region
14	2	working of a search engine
15	1	what is special about this region
16	2	search engine’s working
17	1	speciality about this region
18	2	inside a search engine
19	1	speciality of this region
20	2	working of a search engine
